iter	RMSE
0	528.9698151
1	515.2347844
2	502.9094197
3	490.0231549
4	477.8119925
5	466.1357837
6	453.9727414
7	442.9473514
8	431.4189438
9	421.2255566
10	410.8907347
11	400.9451402
12	390.7472541
13	381.5222185
14	377.7282986
15	368.4061011
16	359.5751684
17	351.5621157
18	343.5212772
19	336.4822491
20	328.3685422
21	321.0012528
22	313.3429831
23	306.3758025
24	299.6984367
25	292.8685628
26	286.6088653
27	280.5670036
28	275.8878321
29	270.3360436
30	264.8814089
31	259.3888826
32	253.8998259
33	248.5965528
34	244.0118065
35	239.2624457
36	234.9639268
37	230.4876659
38	226.2617678
39	222.3922502
40	218.6558291
41	214.3056328
42	210.3002899
43	207.4077135
44	203.8069449
45	200.3390956
46	197.1138385
47	195.1130241
48	191.9356185
49	188.9431393
50	185.970916
51	182.6182465
52	179.8445343
53	177.3808509
54	174.7690448
55	172.0474551
56	169.6314864
57	167.4053424
58	165.0823046
59	162.9224546
60	160.939763
61	159.0709235
62	157.2141079
63	155.377665
64	153.5870179
65	151.6313706
66	149.7120772
67	148.0228375
68	146.7001571
69	144.9715159
70	143.2918724
71	141.8270894
72	140.2881848
73	139.0913467
74	137.6945525
75	136.4283618
76	135.2675995
77	133.7401477
78	132.6550262
79	131.4179092
80	130.3000128
81	129.3065253
82	128.3165426
83	127.0155382
84	125.9165796
85	124.8469826
86	123.8710654
87	122.8658739
88	121.9959289
89	121.0246235
90	119.983567
91	119.2660642
92	118.1761705
93	117.3562578
94	116.3806305
95	115.5450556
96	114.805542
97	114.1900435
98	113.2841065
99	112.6957073
100	111.9584375
101	111.246931
102	110.7327058
103	109.8986812
104	109.1648211
105	108.5230294
106	107.9176723
107	107.4419023
108	106.7492831
109	106.0921772
110	105.3689631
111	104.7528291
112	104.0622512
113	103.5960833
114	103.0927744
115	102.5627218
116	102.0676629
117	101.4598847
118	100.8576212
119	100.1489262
120	99.76850246
121	99.29969012
122	98.82408268
123	98.36787929
124	97.85181371
125	97.44651877
126	96.99794882
127	96.57488405
128	96.08662083
129	95.57916985
130	95.34257628
131	94.96776473
132	94.81761961
133	94.4657144
134	93.9483637
135	93.74250347
136	93.37160278
137	92.96417839
138	92.75072431
139	92.34527008
140	92.09531052
141	91.64636582
142	91.31109611
143	90.92404224
144	90.51537862
145	90.19609434
146	89.84864511
147	89.65674569
148	89.26943897
149	88.85785973
150	88.61069593
151	88.32135981
152	87.91718433
153	87.58497471
154	87.32404683
155	87.07541754
156	86.78199679
157	86.50749394
158	86.0378709
159	85.87758681
160	85.45674888
161	85.13940825
162	84.86700298
163	84.40617178
164	84.13141643
165	83.77034375
166	83.61434232
167	83.41594534
168	83.11539213
169	82.93052283
170	82.70030722
171	82.41874456
172	82.06982494
173	81.79181116
174	81.59443371
175	81.41815821
176	81.14529983
177	80.99159573
178	80.77387124
179	80.49629226
180	80.29721911
181	80.02485914
182	79.79399375
183	79.55497424
184	79.41790359
185	79.24257421
186	79.02063548
187	78.74774698
188	78.5493718
189	78.37933709
190	78.16495094
191	77.88192309
192	77.65425046
193	77.50359634
194	77.27591221
195	77.02952018
196	76.9405575
197	76.71450949
198	76.56010115
199	76.34055527
200	76.17436666
201	75.98981091
202	75.79742881
203	75.52452789
204	75.30753229
205	75.04913772
206	74.82835605
207	74.53385848
208	74.2627262
209	74.01275558
210	73.76036233
211	73.43263644
212	73.24799838
213	73.06884258
214	72.91365907
215	72.72420217
216	72.49810623
217	72.39677224
218	72.35358839
219	72.28068232
220	72.08022013
221	71.86878322
222	71.74559743
223	71.61633976
224	71.59238811
225	71.57702142
226	71.47438361
227	71.2763712
228	71.14061008
229	71.11727565
230	70.98828713
231	70.75438331
232	70.66134288
233	70.55539857
234	70.40002956
235	70.3827568
236	70.27801803
237	70.06078317
238	69.91899587
239	69.73772039
240	69.59486465
241	69.36007704
242	69.26238465
243	69.02858598
244	68.95199229
245	68.88017295
246	68.67934659
247	68.56246391
248	68.24885493
249	68.13781783
250	67.89377986
251	67.8409749
252	67.81528195
253	67.76451535
254	67.56675508
255	67.54931178
256	67.46481027
257	67.30932053
258	67.27360666
259	67.25382664
260	67.13245824
261	66.95427244
262	66.86057341
263	66.70078005
264	66.67006731
265	66.61411836
266	66.50192798
267	66.38677481
268	66.35128923
269	66.17510722
270	66.16051479
271	66.07859188
272	66.02637053
273	65.85718465
274	65.68076712
275	65.66709965
276	65.64498736
277	65.52802107
278	65.32088106
279	65.3066474
280	65.2478483
281	65.06481211
282	64.87344104
283	64.85815939
284	64.84315546
285	64.82732988
286	64.71351614
287	64.58689409
288	64.38403236
289	64.34142031
290	64.2453462
291	64.21563466
292	64.20250024
293	64.15571641
294	64.04106608
295	64.02778019
296	64.01030208
297	63.87594674
298	63.85973739
299	63.70531772
300	63.67167849
301	63.66162731
302	63.62213215
303	63.45783484
304	63.34497127
305	63.31069096
306	63.29498649
307	63.13171389
308	62.98640516
309	62.97263334
310	62.89650407
311	62.81335877
312	62.80406731
313	62.79007947
314	62.66599798
315	62.64019442
316	62.61029592
317	62.45123106
318	62.43729206
319	62.42668393
320	62.32818711
321	62.30874159
322	62.22930191
323	62.19938309
324	62.1246852
325	62.11252935
326	62.00759167
327	61.97501336
328	61.75453932
329	61.52029904
330	61.48804217
331	61.35373249
332	61.11446581
333	61.02838369
334	60.87899362
335	60.86300663
336	60.82742065
337	60.81460367
338	60.60142235
339	60.35583693
