iter	Passed	Remaining
0	2	3686
1	4	3754
2	7	4001
3	10	3978
4	13	3978
5	15	4026
6	18	3926
7	20	3952
8	23	3934
9	26	3981
10	29	4000
11	30	3774
12	32	3772
13	35	3841
14	35	3600
15	38	3603
16	41	3669
17	44	3695
18	47	3716
19	47	3546
20	49	3555
21	53	3605
22	55	3611
23	58	3666
24	61	3686
25	64	3678
26	67	3718
27	70	3728
28	70	3607
29	73	3623
30	76	3646
31	78	3652
32	81	3653
33	83	3651
34	86	3671
35	89	3667
36	91	3673
37	93	3658
38	96	3661
39	98	3654
40	101	3661
41	104	3670
42	107	3676
43	109	3677
44	112	3677
45	114	3674
46	117	3686
47	118	3624
48	120	3619
49	123	3614
50	125	3621
51	128	3622
52	131	3622
53	134	3656
54	137	3646
55	139	3648
56	142	3648
57	144	3639
58	147	3652
59	150	3651
60	151	3609
61	153	3601
62	155	3600
63	158	3592
64	160	3597
65	163	3596
66	166	3602
67	168	3594
68	171	3598
69	172	3574
70	175	3579
71	178	3586
72	181	3592
73	184	3595
74	186	3587
75	189	3586
76	191	3584
77	194	3582
78	197	3592
79	199	3589
80	202	3589
81	204	3587
82	205	3548
83	207	3539
84	210	3548
85	212	3544
86	215	3548
87	218	3547
88	220	3541
89	223	3548
90	226	3550
91	228	3545
92	231	3548
93	233	3541
94	236	3543
95	238	3540
96	241	3544
97	244	3544
98	247	3544
99	249	3540
100	252	3536
101	255	3545
102	258	3544
103	261	3552
104	263	3551
105	266	3547
106	269	3551
107	271	3547
108	274	3550
109	277	3549
110	280	3551
111	282	3545
112	285	3552
113	287	3545
114	290	3546
115	292	3540
116	295	3538
117	298	3535
118	300	3534
119	303	3531
120	305	3532
121	308	3528
122	310	3526
123	313	3520
124	315	3517
125	318	3516
126	320	3514
127	323	3508
128	325	3508
129	328	3508
130	329	3485
131	331	3485
132	332	3465
133	335	3463
134	337	3458
135	338	3442
136	341	3439
137	343	3435
138	346	3438
139	349	3436
140	351	3437
141	354	3435
142	357	3434
143	359	3432
144	362	3428
145	366	3439
146	368	3438
147	371	3441
148	374	3440
149	377	3444
150	380	3446
151	383	3444
152	386	3447
153	388	3444
154	392	3450
155	394	3448
156	397	3449
157	400	3449
158	403	3446
159	406	3449
160	409	3451
161	412	3449
162	415	3452
163	417	3450
164	420	3448
165	424	3454
166	426	3448
167	429	3448
168	431	3445
169	434	3446
170	437	3450
171	440	3449
172	443	3445
173	446	3447
174	448	3444
175	451	3441
176	455	3447
177	457	3444
178	459	3440
179	462	3441
180	466	3444
181	470	3450
182	473	3451
183	476	3451
184	478	3449
185	482	3452
186	484	3449
187	487	3450
188	490	3445
189	492	3445
190	495	3439
191	498	3442
192	500	3437
193	503	3435
194	505	3431
195	508	3426
196	510	3425
197	513	3421
198	515	3415
199	518	3416
200	520	3412
201	523	3409
202	525	3404
203	528	3403
204	530	3397
205	533	3395
206	535	3390
207	537	3384
208	539	3381
209	542	3378
210	544	3375
211	547	3370
212	549	3366
213	552	3364
214	554	3359
215	556	3356
216	558	3351
217	560	3342
218	561	3328
219	563	3324
220	565	3320
221	567	3315
222	570	3314
223	573	3311
224	573	3297
225	574	3284
226	576	3280
227	578	3270
228	580	3267
229	581	3256
230	583	3253
231	586	3249
232	588	3247
233	591	3244
234	593	3239
235	594	3228
236	596	3224
237	598	3219
238	601	3218
239	603	3214
240	606	3212
241	608	3208
242	610	3205
243	612	3199
244	615	3197
245	618	3195
246	620	3190
247	622	3189
248	624	3184
249	626	3178
250	628	3174
251	631	3170
252	633	3169
253	634	3157
254	636	3153
255	637	3141
256	639	3138
257	642	3135
258	644	3131
259	645	3124
260	648	3122
261	650	3118
262	653	3117
263	655	3113
264	658	3112
265	660	3108
266	663	3106
267	665	3102
268	667	3100
269	669	3096
270	671	3087
271	673	3083
272	675	3079
273	677	3077
274	680	3073
275	681	3064
276	683	3061
277	685	3056
278	687	3055
279	688	3042
280	690	3038
281	693	3038
282	695	3036
283	697	3028
284	698	3019
285	699	3012
286	701	3008
287	704	3007
288	706	3004
289	708	3002
290	711	2999
291	713	2997
292	714	2988
293	717	2985
294	719	2982
295	720	2974
296	721	2967
297	724	2964
298	726	2960
299	729	2960
300	730	2952
301	731	2943
302	733	2940
303	735	2937
304	738	2935
305	738	2924
306	739	2918
307	742	2915
308	744	2913
309	745	2906
310	748	2904
311	749	2896
312	749	2886
313	751	2883
314	754	2881
315	757	2881
316	759	2876
317	761	2875
318	763	2871
319	765	2864
320	767	2861
321	769	2858
322	771	2855
323	774	2852
324	776	2849
325	779	2848
326	781	2845
327	783	2844
328	786	2843
329	788	2839
330	791	2837
331	793	2833
332	795	2830
333	798	2829
334	800	2827
335	803	2824
336	805	2821
337	807	2818
338	809	2815
339	812	2813
340	814	2810
341	816	2808
342	818	2805
343	821	2803
344	823	2798
345	825	2796
346	828	2794
347	830	2793
348	833	2790
349	835	2788
350	836	2780
351	838	2777
352	840	2774
353	843	2773
354	846	2771
355	847	2767
356	849	2763
357	852	2761
358	854	2758
359	856	2756
360	859	2753
361	861	2751
362	863	2748
363	866	2746
364	868	2743
365	870	2740
366	873	2737
367	875	2734
368	878	2734
369	880	2731
370	882	2728
371	884	2724
372	886	2721
373	888	2719
374	890	2713
375	892	2712
376	894	2708
377	895	2701
378	897	2698
379	899	2692
380	901	2690
381	903	2687
382	906	2686
383	909	2685
384	911	2682
385	914	2680
386	916	2677
387	918	2675
388	919	2669
389	921	2665
390	923	2662
391	926	2661
392	928	2658
393	931	2656
394	933	2653
395	935	2651
396	938	2649
397	939	2644
398	941	2641
399	944	2638
400	946	2636
401	947	2629
402	949	2627
403	951	2624
404	955	2624
405	957	2621
406	959	2619
407	962	2617
408	964	2614
409	966	2612
410	969	2610
411	971	2608
412	973	2604
413	975	2601
414	977	2599
415	980	2596
416	982	2593
417	984	2591
418	986	2588
419	989	2587
420	991	2583
421	994	2581
422	996	2578
423	998	2577
424	1000	2571
425	1002	2570
426	1004	2567
427	1007	2565
428	1008	2560
429	1011	2558
430	1013	2555
431	1015	2553
432	1018	2551
433	1020	2549
434	1023	2547
435	1025	2545
436	1027	2541
437	1029	2538
438	1031	2535
439	1034	2533
440	1036	2530
441	1038	2529
442	1040	2525
443	1043	2523
444	1045	2521
445	1048	2520
446	1050	2517
447	1053	2516
448	1055	2512
449	1058	2511
450	1060	2509
451	1062	2506
452	1065	2505
453	1067	2502
454	1070	2500
455	1072	2497
456	1075	2496
457	1077	2493
458	1079	2491
459	1082	2488
460	1084	2486
461	1086	2483
462	1088	2481
463	1091	2479
464	1094	2477
465	1096	2474
466	1099	2473
467	1101	2471
468	1104	2469
469	1107	2468
470	1107	2462
471	1109	2459
472	1112	2458
473	1114	2454
474	1117	2453
475	1119	2450
476	1121	2448
477	1124	2447
478	1126	2444
479	1129	2441
480	1131	2438
481	1133	2436
482	1136	2434
483	1138	2431
484	1140	2429
485	1142	2426
486	1145	2425
487	1147	2422
488	1150	2420
489	1150	2413
490	1152	2411
491	1154	2408
492	1157	2406
493	1159	2403
494	1162	2401
495	1164	2399
496	1164	2392
497	1167	2391
498	1169	2389
499	1172	2386
500	1174	2384
501	1177	2382
502	1179	2379
503	1182	2379
504	1184	2376
505	1187	2374
506	1189	2371
507	1191	2368
508	1194	2367
509	1196	2364
510	1198	2362
511	1200	2359
